Nama Tempat;Latitude;Longitude
Fitness Plus Jogja;-77672976,00;1103542483,00
BlackBox Gym;-77716371,00;1103595460,00
Optimum Fitness & Cafe;-77792378,00;1103623579,00
Gaharu Fitness;-77738680,00;1103685560,00
FIT HUB Gejayan;-77803063,00;1103883122,00
BlackBox Gym PRO;-77970442,00;1103740535,00
Hardcore Gym Jogja;-77870907,00;1103736434,00
GMC Fitness Center;-77728407,00;1103750732,00
DR Gym;-77989355,00;1103732841,00
FIT HUB Jogja City Mall (JCM);-77532431,00;1103609090,00
The Fit Lab;-77715887,00;1103611593,00
Curves Terban Yogyakarta;-77803933,00;1103732738,00
DF FIT CLUB;-77804898,00;1103926605,00
In Balance Kimaya Sudirman;-77824493,00;1103775743,00
Fitness Center HSC UNY;-77772775,00;1103863409,00
Poetri Gym;-77614332,00;1103939879,00
Fitbox Gym Studio;-77816863,00;1103626593,00
Lembah Fitnes UGM;-77721989,00;1103825187,00
No Limits Training Facility;-77834030,00;1103634561,00
Point Workout Space;-77513116,00;1103986290,00
Muscle GYM;-77870704,00;1103574233,00
AREAFIT Fitness & Badminton;-77955836,00;1103945196,00
Wzone Gym Studio - Jakal;-77480480,00;1103874737,00
Tamansari Gym;-77827351,00;1103741557,00
Athletic Fitness Gym Jogja;-77440701,00;1103768129,00
Freedom Fitness & Gym Yogyakarta;-77776029,00;1104151362,00
Celebrity Fitness;-77840413,00;1103906460,00
Max Gym Fitness & Aerobic;-77911165,00;1103834183,00
Fusion Gym;-77803190,00;1103436273,00
Sanggar Senam Wanita Bellina;-77769453,00;1103735460,00
Bethesda Gym And Aerobic;-77833179,00;1103786562,00
PF Gym & Fitness Condongcatur;-77560625,00;1103981875,00
DM Fitness & Sanggar Senam;-78037746,00;1103950553,00
NC Cahaya;-77727742,00;1103615393,00
MISSFIT STUDIO GYM;-77540790,00;1104158762,00
HBP Fitness & Aerobic;-77828240,00;1103943132,00
Buldozer Barbell Club;-78037284,00;1103830511,00
MASTER GYM;-77348101,00;1103844044,00
kartikadewifitness;-77984120,00;1103620630,00
Pamungkas Gym;-77981585,00;1103640880,00
Wzone Gym Studio - Paris;-78222025,00;1103676584,00
WZone Gym Studio - Babarsari;-77740883,00;1104120122,00
Lembah Fitness Nologaten;-77794494,00;1103999834,00
DM GYM;-78177572,00;1103595773,00
INNER SPORT MALIOBORO;-77933327,00;1103663939,00
WZone Gym Studio - XT Square;-78164310,00;1103860438,00
Yhi Wellness by Melia Purosani;-77976125,00;1103686560,00
Lembah Fitness Warungboto;-78126826,00;1103903794,00
Empire Gym;-77566817,00;1104337730,00
Joglo Camp;-78128103,00;1103541482,00
NC Waru Family;-77727880,00;1103615207,00
Melia Gym;-78010871,00;1103465886,00
Smash@Nerium (Grappling Institute);-78085862,00;1103752442,00
Lembah Fitness Giwangan;-78255456,00;1103885741,00
Fitness Plus Wirobrajan;-78001049,00;1103309514,00
OCIGEN Physical Fitness Center;-78224548,00;1103674186,00
Zenith Gym Jogja;-78151106,00;1103739762,00
Lembah Fitness Center (Janti);-77987215,00;1104084249,00
TT gym jogja;-78247170,00;1103748284,00
Ratna Fitness & Aerobic Centre;-78192109,00;1103848080,00
Basic Fitness Guarara, CV;-77927621,00;1103680487,00
Sanggar Senam Khusus Wanita;-77833351,00;1103644389,00
Griya Senam Nirmala;-78115940,00;1103859870,00
Tritunggal Fitness Center;-78247074,00;1103747495,00
Worldfit Indonesia;-77203446,00;1103613990,00
Fun Gym Fitness;-78281652,00;1103229681,00
GYMRAT;-77571731,00;1103819185,00
Sanggar Senam Adinda;-78141409,00;1103615184,00
